,s-3,s-2,s-1,a,r
0,0,5,6,6,-1
1,5,6,6,6,-1
2,6,6,6,4,-1
3,6,6,4,7,0
4,6,4,7,0,0
5,4,7,0,5,-1
6,7,0,5,1,-1
7,0,5,1,9,1
8,5,1,9,0,0
9,1,9,0,6,-1
10,9,0,6,5,-1
11,0,6,5,5,-1
12,6,5,5,8,1
13,5,5,8,2,1
14,5,8,2,5,-1
15,8,2,5,9,1
16,2,5,9,6,1
17,5,9,6,1,0
18,9,6,1,9,1
19,6,1,9,7,0
20,1,9,7,2,1
21,9,7,2,8,1
22,7,2,8,8,1
23,2,8,8,2,1
24,8,8,2,9,1
25,8,2,9,7,-1
26,2,9,7,0,0
27,9,7,0,4,-1
28,7,0,4,8,0
29,0,4,8,3,-1
30,4,8,3,9,1
31,8,3,9,6,0
32,3,9,6,0,-1
33,9,6,0,7,-1
34,6,0,7,8,1
35,0,7,8,1,0
36,7,8,1,9,0
37,8,1,9,3,1
38,1,9,3,1,-1
39,9,3,1,9,1
40,3,1,9,2,1
41,1,9,2,3,-1
42,9,2,3,7,1
43,2,3,7,6,-1
44,3,7,6,9,1
45,7,6,9,4,1
46,6,9,4,5,-1
47,9,4,5,0,-1
48,4,5,0,2,1
49,5,0,2,3,1
50,0,2,3,2,1
51,2,3,2,6,-1
52,3,2,6,4,-1
53,2,6,4,9,1
54,6,4,9,9,1
55,4,9,9,0,-1
56,9,9,0,8,1
57,9,0,8,2,1
58,0,8,2,7,0
59,8,2,7,2,1
60,2,7,2,8,1
61,7,2,8,3,0
62,2,8,3,1,1
63,8,3,1,9,1
64,3,1,9,3,0
65,1,9,3,2,1
66,9,3,2,9,1
67,3,2,9,2,1
68,2,9,2,8,1
69,9,2,8,4,1
70,2,8,4,2,-1
71,8,4,2,4,-1
72,4,2,4,9,-1
73,2,4,9,5,-1
74,4,9,5,4,1
75,9,5,4,8,1
76,5,4,8,1,-1
77,4,8,1,5,-1
78,8,1,5,0,-1
79,1,5,0,8,1
80,5,0,8,6,-1
81,0,8,6,9,1
82,8,6,9,4,1
83,6,9,4,5,-1
84,9,4,5,2,1
85,4,5,2,5,-1
86,5,2,5,8,1
87,2,5,8,9,1
88,5,8,9,7,0
89,8,9,7,0,-1
90,9,7,0,4,-1
91,7,0,4,5,0
92,0,4,5,3,1
93,4,5,3,1,0
94,5,3,1,9,-1
95,3,1,9,6,-1
96,1,9,6,3,1
97,9,6,3,9,1
98,6,3,9,6,-1
99,3,9,6,9,1
100,9,6,9,4,1
101,6,9,4,2,1
102,9,4,2,8,1
103,4,2,8,8,1
104,2,8,8,9,-1
105,8,8,9,9,-1
106,8,9,9,2,1
107,9,9,2,8,1
108,9,2,8,5,-1
109,2,8,5,1,0
110,8,5,1,1,-1
111,5,1,1,6,-1
112,1,1,6,6,-1
113,1,6,6,2,1
114,6,6,2,6,-1
115,6,2,6,7,0
116,2,6,7,1,0
117,6,7,1,5,-1
118,7,1,5,8,1
119,1,5,8,3,1
120,5,8,3,3,1
121,8,3,3,8,1
122,3,3,8,1,0
123,3,8,1,9,1
124,8,1,9,1,-1
125,1,9,1,7,-1
126,9,1,7,2,1
127,1,7,2,8,1
128,7,2,8,2,1
129,2,8,2,8,-1
130,8,2,8,4,-1
131,2,8,4,5,0
132,8,4,5,5,-1
133,4,5,5,0,-1
134,5,5,0,6,0
135,5,0,6,6,-1
136,0,6,6,1,1
137,6,6,1,8,-1
138,6,1,8,8,1
139,1,8,8,8,1
140,8,8,8,3,-1
141,8,8,3,2,1
142,8,3,2,2,1
143,3,2,2,0,-1
